ID,Name,Age,Center,Forward,Guard,A-10,A-Sun,AAC,ACC,AEC,Big 12,Big East,Big Sky,Big South,Big Ten,Big West,CAA,CUSA,Horizon,Ind,Ivy,MAAC,MAC,MEAC,MVC,MWC,Mid-Cont,NEC,OVC,Pac-10,Pac-12,Patriot,SEC,Southern,Southland,Summit,Sun Belt,WAC,WCC,Height,Weight,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,DraftCategory,DraftPick
jordan-bachynski-1,Jordan Bachynski,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,218,112,2014,33,33,30.9,4.0,7.4,4.0,7.4,0.0,0.0,3.4,4.9,2.2,6.1,8.2,0.5,0.4,4.0,1.5,3.0,11.5,7.41,0.59,0.545,0.0,0.6679999999999999,14.8,3.4,12.3,13.0,18.7,2.0,2.4,4.4,0.174,4,80
davion-berry-1,Davion Berry,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,83,2014,31,31,33.3,5.3,11.3,3.3,6.3,2.0,5.1,6.7,8.2,0.4,3.8,4.2,3.9,1.0,0.2,2.8,2.3,19.2,-4.23,0.632,0.551,0.447,0.7240000000000001,7.9,28.0,0.5,15.4,29.8,4.3,1.4,5.7,0.221,4,80
john-bohannon-1,John Bohannon,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,95,2014,32,29,28.6,4.3,7.5,4.3,7.2,0.0,0.3,3.2,4.8,1.8,6.4,8.3,2.4,0.4,1.7,2.3,2.4,11.9,0.05,0.608,0.5770000000000001,0.046,0.638,16.5,19.2,6.3,19.1,22.4,2.0,2.3,4.4,0.19,4,80
deonte-burton-1,Deonte Burton,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185,86,2014,32,31,38.6,6.7,14.3,5.2,9.4,1.5,4.9,5.1,6.9,0.4,3.9,4.3,4.4,1.5,0.5,2.0,2.2,20.1,3.48,0.573,0.525,0.342,0.485,6.5,26.8,1.6,10.4,26.7,4.3,0.9,5.2,0.168,4,80
tre-bussey-1,Tre Bussey,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,190,77,2014,34,34,34.9,5.8,12.7,4.1,8.3,1.7,4.4,2.9,4.4,1.1,2.7,3.8,1.9,1.0,0.1,1.5,1.2,16.2,-8.6,0.5479999999999999,0.523,0.34299999999999997,0.35,6.2,12.5,0.3,9.2,24.0,2.9,1.1,4.0,0.136,4,80
aaron-craft-1,Aaron Craft,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,88,2014,35,35,34.4,3.2,6.8,2.8,5.3,0.5,1.5,2.9,3.9,0.3,3.3,3.6,4.7,2.5,0.1,2.6,2.4,9.8,8.12,0.564,0.506,0.222,0.565,6.3,27.0,0.3,22.9,17.4,1.5,3.2,4.7,0.157,4,80
chris-crawford-3,Chris Crawford,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,100,2014,34,31,29.8,3.0,8.1,0.7,2.1,2.2,6.0,0.6,0.9,0.4,3.6,4.0,3.0,1.5,0.3,1.6,2.0,8.7,7.14,0.516,0.507,0.745,0.106,7.4,16.6,0.9,15.6,16.3,1.0,1.8,2.7,0.10800000000000001,4,80
melvin-ejim-1,Melvin Ejim,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,99,2014,34,33,32.1,6.5,12.8,5.2,9.1,1.3,3.7,3.6,4.7,2.6,5.8,8.4,1.8,1.2,0.7,2.3,3.3,17.8,9.88,0.591,0.555,0.29100000000000004,0.365,14.1,10.8,2.0,13.2,26.3,3.0,1.8,4.8,0.177,4,80
joe-jackson-1,Joe Jackson,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,78,2014,34,33,33.2,4.5,10.2,3.9,7.8,0.7,2.5,4.3,5.6,1.1,2.5,3.6,4.5,1.5,0.1,2.1,2.0,14.1,7.14,0.545,0.47600000000000003,0.24100000000000002,0.546,6.0,24.2,0.2,14.3,21.9,2.7,1.6,4.4,0.154,4,80
geron-johnson-1,Geron Johnson,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,89,2014,34,32,27.9,3.3,8.1,2.6,5.3,0.7,2.7,1.6,2.6,1.6,3.3,4.9,3.5,1.3,0.4,2.4,2.7,8.9,7.14,0.47700000000000004,0.45299999999999996,0.33899999999999997,0.325,9.8,21.8,1.5,20.4,20.2,0.6,1.7,2.2,0.09300000000000001,4,80
jaron-johnson-1,Jaron Johnson,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,92,2014,37,18,21.5,3.1,6.1,2.3,3.5,0.8,2.6,2.1,2.9,1.7,1.8,3.5,0.7,0.6,0.3,0.8,2.0,9.1,-1.2,0.609,0.5770000000000001,0.434,0.478,8.8,6.2,1.5,10.1,18.3,2.2,1.6,3.8,0.192,4,80
shawn-jones-1,Shawn Jones,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,107,2014,33,32,28.2,5.5,9.6,5.5,9.6,0.0,0.0,3.1,4.5,3.0,5.5,8.5,0.6,0.9,1.9,1.5,2.8,14.2,-0.78,0.604,0.5770000000000001,0.003,0.46399999999999997,17.6,5.2,7.7,11.0,24.0,3.0,2.5,5.6,0.239,4,80
akil-mitchell-1,Akil Mitchell,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,106,2014,37,36,25.7,2.8,5.1,2.8,5.0,0.0,0.0,1.1,2.6,1.9,5.1,7.0,1.2,0.8,0.6,1.3,1.9,6.8,7.86,0.54,0.561,0.005,0.513,16.9,9.9,2.6,17.4,16.7,1.1,2.7,3.8,0.158,4,80
bubu-palo-1,Bubu Palo,22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,81,2013,17,0,12.5,0.6,1.3,0.5,1.0,0.1,0.3,1.5,1.9,0.2,1.2,1.4,1.4,0.3,0.0,0.8,1.2,2.8,6.13,0.624,0.47700000000000004,0.22699999999999998,1.5,6.7,18.0,0.0,27.1,11.9,0.4,0.2,0.6,0.106,4,80
casey-prather-1,Casey Prather,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,198,96,2014,37,35,27.9,5.1,8.5,5.1,8.4,0.1,0.1,3.5,5.1,1.9,3.0,5.0,1.6,1.0,0.5,2.2,2.1,13.8,8.54,0.63,0.606,0.016,0.603,10.8,13.7,2.2,16.5,25.2,3.2,2.5,5.7,0.21899999999999997,4,80
orlando-sanchez-1,Orlando Sanchez,26,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,105,2014,32,18,22.3,2.9,5.6,2.5,4.3,0.3,1.4,1.3,1.8,1.5,4.1,5.6,1.4,0.8,1.1,1.3,2.6,7.4,6.56,0.5760000000000001,0.542,0.244,0.311,13.9,11.9,5.4,17.2,17.8,1.2,1.5,2.7,0.149,4,80
nick-wiggins-1,Nick Wiggins,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,87,2014,36,0,15.2,1.6,4.5,1.0,2.1,0.6,2.4,1.2,2.1,0.6,1.7,2.3,0.6,0.3,0.3,0.8,1.3,5.1,1.74,0.46299999999999997,0.429,0.54,0.466,8.7,7.1,1.9,13.2,21.8,0.2,1.1,1.3,0.099,4,80
scottie-wilbekin-1,Scottie Wilbekin,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,188,79,2014,34,33,33.8,4.1,10.2,2.1,5.2,2.0,5.1,2.9,4.1,0.2,2.3,2.4,3.6,1.6,0.0,1.7,1.7,13.1,8.54,0.54,0.499,0.494,0.397,4.4,22.1,0.0,12.3,22.0,2.6,2.6,5.2,0.18100000000000002,4,80
