ID,Name,Age,Position,Height,Weight,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,DraftCategory,DraftPick
kevin-porterjr-1,"Kevin Porter, Jr.",19,Guard,198,98,2019,USC,Pac-12,21,4,22.1,3.5,7.5,.471,2.2,4.2,.517,1.3,3.2,.412,1.1,2.2,.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,4.96,16.2,.559,.561,.433,.293,185,4.8,15.0,10.0,12.0,2.1,2.6,17.9,23.3,0.5,0.7,1.2,.100,Top30,30
barry-brown-1,"Barry Brown, Jr.",22,Guard,190,88,2019,Kansas State,Big 12,34,34,35.0,5.4,12.5,.433,4.2,8.4,.500,1.2,4.1,.298,2.6,3.6,.710,0.4,3.7,4.1,2.8,1.9,0.1,1.9,2.1,14.6,9.18,17.5,.515,.482,.332,.292,468,1.4,13.0,7.1,18.4,3.4,0.6,11.8,24.8,1.7,2.8,4.5,.152,Undrafted,80
anthony-lawrencejr-1,"Anthony Lawrence, Jr.",22,Guard,201,93,2019,Miami (FL),ACC,32,32,33.5,4.4,9.7,.453,2.8,5.1,.549,1.6,4.6,.347,2.2,2.8,.758,0.9,5.8,6.7,3.1,1.2,0.7,2.5,1.9,12.6,8.70,17.9,.567,.535,.473,.293,405,3.1,20.3,11.6,18.9,2.1,2.4,18.4,20.9,1.6,1.6,3.2,.119,Undrafted,80
galen-robinsonjr-1,"Galen Robinson, Jr.",22,Guard,185,86,2019,Houston,AAC,37,37,29.9,2.8,6.3,.449,2.1,4.2,.500,0.8,2.2,.350,1.6,2.4,.667,0.5,2.6,3.1,4.9,1.3,0.1,1.7,1.4,8.0,4.61,15.8,.538,.509,.342,.372,359,1.8,9.0,5.5,29.1,2.6,0.3,18.6,15.4,2.2,2.3,4.5,.164,Undrafted,80
james-palmer-1,"James Palmer, Jr.",22,Guard,198,93,2019,Nebraska,Big Ten,36,36,35.2,5.9,16.1,.369,4.1,10.1,.401,1.9,5.9,.313,6.0,7.8,.762,1.1,3.1,4.2,3.0,1.4,0.4,2.1,2.2,19.7,11.31,20.6,.497,.426,.370,.488,683,3.4,9.7,6.5,18.2,2.4,1.2,9.8,32.1,2.8,1.7,4.5,.142,Undrafted,80
david-lee-1,Alejandro Carmona Sanchez,22,Forward,206,112,2005,Florida,SEC,32,32,28.0,5.0,9.5,.525,5.0,9.4,.532,0.0,0.1,.000,3.6,5.0,.714,2.4,6.6,9.0,2.2,1.1,0.8,2.7,2.4,13.6,7.12,,.570,.525,.013,.528,,,,18.9,16.4,,2.0,18.2,26.5,2.3,2.7,5.0,.225,Undrafted,80
carl-landry-1,Marcus D. Williams,20,Forward,206,112,2007,Purdue,Big Ten,34,34,30.4,6.4,10.8,.597,6.3,10.2,.618,0.1,0.6,.211,5.9,8.1,.726,3.0,4.4,7.3,1.2,1.2,0.9,3.0,2.9,18.9,8.89,,.645,.602,.052,.755,,,,14.9,9.9,,2.4,17.0,29.9,5.2,3.2,8.4,.324,Top30,22
tristan-thompson-2,Marcus E. Williams,20,Forward,203,102,2011,Texas,Big 12,36,34,30.7,4.8,8.8,.546,4.8,8.8,.546,0.0,0.0,,3.5,7.3,.487,3.8,4.0,7.8,1.3,0.9,2.4,1.8,2.8,13.1,7.96,24.2,.536,.546,.000,.829,475,14.0,13.7,13.8,8.1,1.8,7.2,12.7,22.4,2.8,2.7,5.5,.200,Top45,33
chris-wright-1,Luc Mbah a Moute,21,Forward,203,102,2011,Dayton,A-10,36,35,28.8,5.0,10.8,.459,4.8,10.2,.473,0.1,0.6,.227,3.1,5.1,.600,2.3,6.1,8.4,1.8,0.8,1.4,2.8,2.8,13.2,3.20,19.9,.496,.465,.056,.474,453,8.7,24.0,16.2,15.4,1.6,5.9,17.6,28.2,0.9,2.2,3.2,.123,Top45,37
chris-wright-2,Nando De Colo,22,Guard,185,94,2011,Georgetown,Big East,29,29,33.0,4.2,10.1,.414,2.7,5.7,.476,1.4,4.3,.333,3.1,4.0,.783,0.3,2.6,2.9,5.3,1.4,0.1,2.9,2.0,12.9,10.39,18.1,.539,.486,.432,.394,407,1.3,8.9,5.4,31.8,2.6,0.3,19.5,24.1,2.1,0.9,3.1,.128,Top60,53
dion-waiters-1,"Anthony Mason, Jr.",23,Guard,193,97,2012,Syracuse,Big East,37,0,24.1,4.6,9.6,.476,3.5,6.6,.529,1.1,3.1,.363,2.3,3.2,.729,0.5,1.8,2.3,2.5,1.8,0.3,1.3,1.9,12.6,8.02,26.3,.565,.534,.317,.331,430,2.4,8.8,5.6,21.2,4.6,1.5,10.4,26.7,3.2,1.7,5.0,.223,Undrafted,80
chris-johnson-1,Tim Hardaway Jr.,21,Forward,198,97,2012,Dayton,A-10,32,32,29.7,4.1,8.8,.465,1.9,3.4,.574,2.2,5.4,.397,2.1,2.5,.848,2.5,3.9,6.4,1.3,0.7,0.6,1.6,2.3,12.4,4.30,22.0,.623,.587,.617,.280,371,10.1,17.1,13.4,9.4,1.5,2.2,13.8,20.2,3.2,1.0,4.2,.178,Top30,24
